campus,slug,status,note
A-State,arkansas-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
APU,azusa-pacific-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Alabama State,alabama-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Albany State,albany-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Angelo State,angelo-state-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Augsburg,augsburg-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Bay Path,bay-path-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Bryant & Stratton,bryant-and-stratton-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
CCSJ,calumet-college-of-saint-joseph,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
CIU,columbia-international-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Campbell,campbell-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Campbellsville,campbellsville-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Canisius,canisius-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Carson-Newman,carson-newman-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Catawba,catawba-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Cedar Crest,cedar-crest-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Central,central-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Champlain,champlain-college,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Claflin,claflin-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
Concord,concord-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
DBU,dallas-baptist-university,needs-research,"Not reached this run — resolve GreekRank uni id + harvest, or verify social Greek presence via official source. Many are small/branch campuses with limited traditional Greek life."
