organization,seen_at_campuses,campuses,note
Alpha Sigma Kappa,4,Iowa State; Colorado State; Virginia Tech; Minnesota,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Alpha,4,Colorado State; Nebraska; Illinois; U of I,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Omega Phi Alpha,3,Rutgers; Virginia Tech; WKU,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Alpha Omega,3,Virginia; Georgia State; UNC Charlotte,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Pi Alpha Phi,2,Northwestern; Drexel,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Theta Psi,2,San Diego State; USC,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Omega Delta,2,Illinois; UIC,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Phi Delta Psi,2,Illinois; Cleveland State,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Alpha Epsilon Pi,2,Binghamton; Brandeis,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Kappa Beta Gamma,2,Brandeis; Loyola Chicago,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Phi Beta Chi,1,Iowa State,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Chi Delta Theta,1,Cal Poly,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Phi Alpha Epsilon,1,Northwestern,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Delta Sigma Iota,1,Rutgers,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Delta Alpha,1,USC,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Phi Society,1,Virginia,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Delta Chi Gamma,1,Virginia Tech,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Alpha Nu Omega,1,GW,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Tau Alpha Upsilon,1,Binghamton,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Sigma Omicron Pi,1,Binghamton,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Alpha Pi Phi,1,Brandeis,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Alpha Delta,1,Drexel,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Delta Psi Epsilon,1,UIC,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
Delta Chi Xi,1,UNCG,"Held out of import — classify() could not confirm as social Greek. Verify social/professional + council, add to catalog if social."
